cityid,city_name,adm1id,adm1_name,countryid,country_name,regionid,region_name,year,population,scope,sector,sector_code,subsector,subsector_code,activity_amount_mj,co2e_total_ton,notation
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Transport,transportation,Rail,transportation_rail,74285793.417608,3508.5413733907,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Transport,transportation,Waterborne navigation,transportation_waterborne_navigation,41138758.51182,3048.5301052565,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Transport,transportation,Aviation,transportation_aviation,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Transport,transportation,Off-road,transportation_off_road,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Waste,waste,Solid waste disposal,waste_solid_waste_disposal,,23444.039232185,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Waste,waste,Biological treatment,waste_biological_treatment,,680.9701474224,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Waste,waste,Incineration and open burning,waste_incineration_open_burning,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Waste,waste,Wastewater,waste_wastewater,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,IPPU,industry,Industrial process,industry_industrial_processes,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,IPPU,industry,Produce use,industry_product_use,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,AFOLU,agriculture,Livestock,agriculture_live_stock,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,AFOLU,agriculture,Land use,agriculture_land,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,AFOLU,agriculture,Other AFOLU,agriculture_aggregate_sources,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Electricity-only generation,energy_generation_electricity_only,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,CHP Generation,energy_generation_chp_generation,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Heat/cold generation,energy_generation_heat_cold_generation,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2012,549050,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Local renewable generation,energy_generation_local_renewable_generation,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2011,539542,Total emissions,Stationary energy,stationary_energy,Residential buildings,stationary_energy_residential_buildings,12501364082.387041,257709.77478402609,
